집계구코드,net_node,classic_stops,thermal_stops,tarr
1104062010101,3807096338,32,1,96.88
1104062020002,3807096040,5,3,40.0
1104062020001,13233950654,5,3,40.0
1104062020201,8142947268,5,3,40.0
1104062030003,3807096345,39,3,92.31
1104062030002,3807096351,40,3,92.5
1104062030001,9577359757,9,0,100.0
1104062030109,3807096220,36,3,91.67
1104062030108,3807096262,37,3,91.89
1104062030107,3807096288,36,3,91.67
1104062030106,3807096290,33,2,93.94
1104062030105,3851468331,9,3,66.67
1104062030104,5062336386,21,3,85.71
1104062030103,5062336386,21,3,85.71
1104062030102,4201516964,5,0,100.0
1104062030101,3807095985,10,3,70.0
1104062030205,8168240298,22,3,86.36
1104062030204,8168240324,17,3,82.35
1104062030203,8168240316,18,3,83.33
1104062030202,3807095897,9,3,66.67
1104062030201,8168240313,17,3,82.35
1104062030303,8168240444,20,3,85.0
1104062030302,3807096220,36,3,91.67
1104062030301,3807096446,26,3,88.46
1104065010001,4652841537,39,1,97.44
1104065010002,4179011694,47,7,85.11
1104065010101,2442096595,54,27,50.0
1104065010201,436839066,52,1,98.08
1104065020004,9081846578,18,1,94.44
1104065020002,9081846734,33,7,78.79
1104065020003,4179011692,43,7,83.72
1104065020001,8319137361,25,9,64.0
1104065020101,4655177244,32,7,78.12
1104065020201,9497242890,28,13,53.57
1104065020202,9497242893,26,9,65.38
1104065020302,4179011703,29,7,75.86
1104065020301,4179354324,23,1,95.65
1104065030006,8450140846,33,2,93.94
1104065030005,8450140846,33,2,93.94
1104065030004,4179354344,40,2,95.0
1104065030003,3854893950,46,0,100.0
1104065030002,9577082240,23,2,91.3
1104065030001,4963715642,6,2,66.67
1104065030101,3856575370,10,0,100.0
1104065030201,4179354333,36,2,94.44
1104065040004,4179354361,41,1,97.56
1104065040005,9081846558,16,1,93.75
1104065040001,4179354316,43,2,95.35
1104065040002,4179354359,52,0,100.0
1104065040003,3854893930,52,0,100.0
1104065040101,8498422127,29,1,96.55
1104065040102,9081846569,29,1,96.55
1104065040103,9081846558,16,1,93.75
1104065040201,4179009448,25,7,72.0
1104065040202,9081846578,18,1,94.44
1104066010003,3856575602,14,9,35.71
1104066010002,5687414053,24,16,33.33
1104066010005,3856575590,20,13,35.0
1104066010004,3856575565,28,19,32.14
1104066010007,3856575613,21,13,38.1
1104066010006,3856575560,40,25,37.5
1104066010009,2551966253,17,11,35.29
1104066010008,3856575454,23,15,34.78
1104066010010,3856575611,17,11,35.29
1104066010001,8499654571,9,0,100.0
1104066010104,5687414075,18,11,38.89
1104066010101,5687414061,18,12,33.33
1104066010103,5687414074,17,11,35.29
1104066010102,5687414064,20,12,40.0
1104066010201,3856575561,33,22,33.33
1104066010202,3856575572,32,20,37.5
1104066010401,3856575588,20,14,30.0
1104066010402,3856575582,19,12,36.84
1104066010501,3856575559,39,26,33.33
