stop_id,stop_name,lat,lon,stop_type,node_id
BS_1100_103900107,대현산체육관입구,37.55296,127.02971,bus,4200524615
BS_1100_103900108,대림아파트후문,37.55617,127.02693,bus,4640923246
BS_1100_103900109,응봉하이퍼마트,37.55268,127.03005,bus,1717113281
BS_1100_103900110,서울숲푸르지오아파트정문,37.54526,127.02439,bus,9596134639
BS_1100_103900111,극동.풍림아파트,37.55904,127.02364,bus,8598774292
BS_1100_103900112,성동보건소,37.56649,127.03319,bus,8332958007
BS_1100_103900113,코스모타워,37.56294,127.03299,bus,8615050156
BS_1100_103900114,상왕십리역,37.56474,127.03025,bus,9481381137
BS_1100_103900115,성동구청,37.56344,127.03583,bus,9663278534
BS_1100_103900116,왕십리민자역사,37.56184,127.03785,bus,2546486123
BS_1100_103900117,행당서울숲푸르지오상가앞,37.55572,127.03378,bus,1717116267
BS_1100_103900119,행당서울숲푸르지오상가앞,37.55557,127.03402,bus,1717116267
BS_1100_103900120,금북초등학교.e편한세상금호105동,37.55554,127.02374,bus,8142256160
BS_1100_103900122,대현산체육관입구,37.55311,127.02996,bus,4200524615
BS_1100_103900123,행당역.대림아파트정문,37.55705,127.02867,bus,8494048089
BS_1100_103900124,논골.e편한세상금호114동,37.55519,127.0246,bus,436832364
BS_1100_103900125,금호119안전센터,37.55423,127.02447,bus,8214316861
BS_1100_103900126,응봉동현대아파트,37.5498,127.03077,bus,4200524604
BS_1100_103900127,대림상가,37.55384,127.03434,bus,287287152
BS_1100_103900128,응봉초등학교.대림아파트,37.5508,127.03317,bus,1708159518
BS_1100_103900131,e편한세상금호117동,37.55247,127.02493,bus,8489939574
BS_1100_103900133,신금호역,37.55464,127.0198,bus,3849035366
BS_1100_103900134,두산상가후문,37.54919,127.01674,bus,8213963902
BS_1100_103900135,두산상가후문,37.54925,127.01672,bus,8213963902
BS_1100_103900137,두산아파트109동,37.54986,127.01685,bus,8213963921
BS_1100_103900138,두산아파트115동,37.55096,127.01611,bus,8213963910
