집계구코드,residential_pop,lon,lat,n_classic_stops,n_thermal_stops
1104057020305,5.2,127.02845841896745,37.55602705247592,291,213
1104057020302,6.2,127.02867827599574,37.55542131036787,293,233
1104057020303,20.5,127.03094471752688,37.5555156293687,293,228
1104057020301,1465.3,127.02993641547408,37.55627754625827,304,241
1104057020312,474.1,127.02659683015108,37.555546906391534,278,205
1104057020313,244.4,127.02587613753164,37.55549857940326,279,207
1104057020314,750.6,127.0294306315453,37.55701865058805,297,229
1104057020315,939.4,127.02970062392036,37.55546717273008,292,233
1104057020308,538.3,127.02952028758604,37.55646956038131,297,229
1104057020309,330.5,127.02771619409744,37.55497657788918,285,225
1104057020310,615.7,127.02721129279954,37.55559984239406,284,206
1104057020311,1.2,127.02800420862803,37.55633152558329,294,224
1104057020403,45.8,127.03187561667382,37.55687369053027,300,225
1104057020401,10.1,127.03223057037968,37.55652261774424,310,205
1104057020402,149.5,127.03122306151133,37.55665249811852,300,225
1104058010001,192.6,127.03734769296923,37.551446205388245,202,0
1104058010106,308.5,127.03572305954604,37.55424669730447,320,172
1104058010101,321.3,127.03498202710225,37.553587319156755,308,165
1104058010103,535.6,127.03549692396533,37.55298835781499,308,161
1104058010102,670.4,127.0357249208022,37.552492748551515,337,164
1104058010105,413.2,127.03646918161728,37.55340029045741,313,163
1104058010104,343.0,127.03503684957307,37.55439504466657,309,165
1104058010107,582.9,127.03597465814111,37.55374365088171,308,158
1104058010201,2.4,127.0377777814603,37.55312982280734,322,169
1104058010202,3.2,127.03707560688532,37.55310616820124,320,167
1104058020004,8.8,127.02989704350912,37.55343185909637,304,212
1104058020005,216.0,127.0311962606756,37.55271679883642,316,212
1104058020002,1077.9,127.02957376406096,37.552331389440944,307,211
1104058020003,10.1,127.03019565438252,37.55263740227938,302,215
1104058020001,930.8,127.03041835128802,37.552050667651464,310,199
1104058020102,34.4,127.03292150304227,37.55347004208157,325,13
1104058020101,635.0,127.03201392235036,37.55216260560584,286,13
1104058020201,28.7,127.02951252484804,37.54961494631983,318,178
1104058020202,855.2,127.0296869653915,37.550994369057776,309,206
1104058020203,335.8,127.0294524975764,37.550148283310186,293,188
1104058020304,1063.6,127.0311656745636,37.55075705858972,263,0
1104058020302,1018.9,127.03037447214986,37.55042950152441,310,0
1104058020303,783.6,127.0316590851373,37.551330476978045,272,0
1104058020301,995.3,127.03081627422904,37.55160040861412,254,0
1104058030003,565.5,127.03063989520126,37.54880080221942,305,13
1104058030002,287.7,127.0336096542667,37.5489825420089,333,13
1104058030001,291.3,127.0319647800405,37.5495744938144,328,13
1104058030105,17.6,127.03282375042303,37.55125207155656,317,13
1104058030104,76.8,127.03211653761328,37.55039948429767,312,13
1104058030103,6.8,127.0329745979132,37.552200341466104,306,13
1104058030102,124.1,127.03433862629828,37.55259368403599,328,13
1104058030101,17.2,127.03402670569204,37.553575230308994,303,13
1104058030106,15.1,127.03344795036202,37.552278611820995,337,13
1104059010001,3530.6,127.02311677532887,37.55425181277799,296,200
1104059020004,14.1,127.02424601639872,37.55678984243635,289,209
1104059020005,862.9,127.02194180606791,37.55639078062016,262,163
1104059020002,3.9,127.0202559290585,37.557336541979225,254,162
1104059020003,3.7,127.02034831075122,37.556984266288154,257,163
1104059020001,11.2,127.02446296818736,37.556140511200965,294,210
1104059020301,1115.1,127.02261496443448,37.555965819763415,283,191
1104059030002,17.5,127.02837635226896,37.5531821623159,287,195
1104059030001,1150.2,127.02621034978286,37.55031174621454,281,159
1104059030103,1603.8,127.02712441079883,37.54950751456074,270,160
1104059030102,50.0,127.02821073495056,37.549045093788514,298,0
1104059030101,31.5,127.02709189026892,37.548590447384406,283,155
