집계구코드,net_node,classic_cnt,thermal_cnt,tarr,A_classic,A_thermal,A_loss,gravity_reduction
1104054010004,4197387949,36,12,66.67,59.66734369176126,12.791036917136026,46.876306774625235,78.56275120405238
1104054010103,10857081080,56,30,46.43,111.12533355587985,39.03863699021252,72.08669656566732,64.86972345456962
1104054010102,5253517887,58,30,48.28,114.1486559775058,39.23417494443351,74.91448103307229,65.62887700389129
1104054010101,10857081045,69,31,55.07,140.16556909851985,44.63116053404461,95.53440856447524,68.1582568236325
1104054010302,3832677068,55,11,80.0,117.71244306758464,35.455712172482855,82.25673089510178,69.87938466953239
1104054010705,9009916695,28,0,100.0,58.117531764404816,0.0,58.117531764404816,100.0
1104054010704,2460188209,2,0,100.0,2.7235497724066136,0.0,2.7235497724066136,100.0
1104054010706,9009916688,27,1,96.3,52.19045845105593,1.0,51.19045845105593,98.08394095457544
1104054020008,3832952868,44,20,54.55,89.6089699081067,42.929487077284925,46.679482830821776,52.09242208530153
1104054020009,3832677066,64,15,76.56,147.51751938236987,42.79617108122466,104.72134830114521,70.98909250887301
1104054020010,3832677291,32,14,56.25,64.20777466060143,36.535441389639814,27.672333270961616,43.09810364435766
1104054020006,3832677058,62,18,70.97,142.54468358827762,53.620675628352814,88.92400795992481,62.3832511472477
1104054020007,3440267193,54,17,68.52,108.46820006632235,45.903406971888344,62.56479309443401,57.680309119335504
1104054020004,3832952887,33,12,63.64,69.19267176620899,26.552562544811437,42.64010922139755,61.62518100973422
1104054020005,3832952872,40,20,50.0,89.35645087742628,36.779942673266255,52.57650820416003,58.83907394249719
1104054020002,13543245071,56,0,100.0,130.31526750392817,0.0,130.31526750392817,100.0
1104054020003,3832677257,48,16,66.67,94.78902475221841,44.52253337967577,50.26649137254264,53.02986448477645
1104054020001,3832677099,51,0,100.0,111.41542670906466,0.0,111.41542670906466,100.0
1104054030001,3832903597,67,0,100.0,113.0317659061159,0.0,113.0317659061159,100.0
1104054030006,3832676317,66,0,100.0,113.38350448754548,0.0,113.38350448754548,100.0
1104054030005,3832676320,62,0,100.0,96.64904246294891,0.0,96.64904246294891,100.0
1104054030004,436831391,42,0,100.0,61.9939752265643,0.0,61.9939752265643,100.0
1104054030003,4197392060,57,0,100.0,83.99449087321466,0.0,83.99449087321466,100.0
1104054030002,3832903347,48,0,100.0,62.28910331284996,0.0,62.28910331284996,100.0
1104054030104,3832676320,62,0,100.0,96.64904246294891,0.0,96.64904246294891,100.0
1104054030103,3832903628,63,0,100.0,91.4183422486085,0.0,91.4183422486085,100.0
1104054040001,9083521251,72,32,55.56,144.17437252277148,51.89815509739528,92.27621742537619,64.00320376688424
1104054040002,3832903321,75,35,53.33,153.44919449410077,57.22950154652921,96.21969294757156,62.70459305100533
1104054040003,3832903635,76,36,52.63,146.80878062375075,55.170031389095364,91.63874923465539,62.42048251154132
