집계구코드,residential_pop,lon,lat,a_classic,a_thermal_h10,a_thermal_h13,a_thermal_h14,aal_h10,tarr_h10,aal_h13,tarr_h13,aal_h14,tarr_h14,category
1104055020013,1787.8,127.04669683220465,37.556212603859805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_access
1104055020006,1443.5,127.04320973464556,37.55926289892274,205.4464,205.4464,118.8459,36.9341,0.0,0.0,86.6005,42.15,168.5123,82.02,moderate
1104055020007,301.4,127.04783564900042,37.56073840981191,145.778,145.778,84.5022,0.0,0.0,0.0,61.2758,42.03,145.778,100.0,thermal_prone
1104055020004,473.5,127.0473309486559,37.56192351134187,146.0139,146.0139,85.1531,0.0,0.0,0.0,60.8608,41.68,146.0139,100.0,thermal_prone
1104055020005,612.7,127.04664049268293,37.56071733246887,157.9469,157.9469,93.4969,0.0,0.0,0.0,64.45,40.8,157.9469,100.0,thermal_prone
1104055020002,901.0,127.0500799473367,37.55957537596788,128.158,128.158,69.6209,33.483,0.0,0.0,58.5371,45.68,94.675,73.87,thermal_robust
1104055020003,171.1,127.04763918825194,37.56468465641806,133.4732,133.4732,68.2317,0.0,0.0,0.0,65.2415,48.88,133.4732,100.0,thermal_prone
1104055020001,200.4,127.04746841475978,37.56385266427793,142.3461,142.3461,82.3593,0.0,0.0,0.0,59.9868,42.14,142.3461,100.0,thermal_prone
1104055020014,469.1,127.04729314857472,37.560032501117185,159.6412,159.6412,93.8871,0.0,0.0,0.0,65.7541,41.19,159.6412,100.0,thermal_prone
1104055020008,417.4,127.04609359490816,37.56169378582893,157.2839,157.2839,97.7041,0.0,0.0,0.0,59.5798,37.88,157.2839,100.0,thermal_prone
1104055020201,556.7,127.04946207228812,37.560455329378115,136.5812,136.5812,79.6891,34.1335,0.0,0.0,56.8921,41.65,102.4477,75.01,thermal_robust
1104055020301,496.5,127.0491355762294,37.561877893952,143.8861,143.8861,80.8173,34.4866,0.0,0.0,63.0688,43.83,109.3995,76.03,thermal_robust
1104055030002,1833.2,127.04149642539628,37.55455725858832,225.8886,225.8886,0.0,0.0,0.0,0.0,225.8886,100.0,225.8886,100.0,thermal_prone
1104055030001,454.5,127.04181326171587,37.556616794568576,249.32,249.32,94.1529,0.0,0.0,0.0,155.1671,62.24,249.32,100.0,thermal_prone
1104055030103,356.2,127.04021483091384,37.5563293132235,257.0003,257.0003,1.9819,1.9819,0.0,0.0,255.0184,99.23,255.0184,99.23,moderate
1104055030102,12.4,127.04024469990384,37.55548107442123,241.0315,241.0315,121.2206,37.1884,0.0,0.0,119.8109,49.71,203.8431,84.57,moderate
1104055030101,836.5,127.04008147377095,37.557302940807034,259.9745,259.9745,148.1797,46.745,0.0,0.0,111.7948,43.0,213.2295,82.02,moderate
1104056010001,870.9,127.03749524939028,37.56228113496782,225.3498,225.3498,129.8527,35.8779,0.0,0.0,95.4971,42.38,189.4719,84.08,moderate
