집계구코드,tarr,classic_cnt,thermal_cnt,lost_cnt,mean_svf,mean_canopy,mean_bld_H,hw_ratio,hot_link_ratio,n_links
1104056030001,48.1,79,41,38,0.1177,0.0,50.6,8.433,0.0,2
1104056030108,56.92,65,28,37,0.1104,0.0,54.0,9.0,0.0,2
1104056030107,67.16,67,22,45,0.0864428571428571,0.0,58.84285714285714,11.768571428571429,0.0,14
1104056030106,65.79,76,26,50,0.2288857142857142,0.0,42.57142857142857,8.423857142857143,0.0,14
1104056030105,56.41,78,34,44,0.3530923076923077,0.0,36.26923076923077,7.638461538461538,0.2307692307692307,26
1104056030104,64.2,81,29,52,0.0739,0.0,67.5,13.5,0.0,4
1104056030103,66.27,83,28,55,0.1415666666666666,0.0,47.06666666666666,9.157666666666666,0.0,6
1104056030102,67.21,61,20,41,0.0746999999999999,0.0,66.75,13.35,0.0,4
1104056030101,67.21,61,20,41,0.1168,0.0,48.0,8.9,0.0,4
1104057010001,74.74,95,24,71,0.5474153846153846,0.0,9.815384615384614,1.564076923076923,0.3846153846153846,26
1104057010003,62.35,85,32,53,0.542475,0.0,9.4125,1.568875,0.375,16
1104057010002,53.85,78,36,42,0.52593,0.0,9.9,1.6501,0.3,20
1104057010115,68.49,73,23,50,0.1538,0.00425,32.65,6.53,0.0,4
1104057010114,57.5,80,34,46,0.1104,0.0,45.0,9.0,0.0,4
1104057010117,56.72,67,29,38,0.1104,0.0,45.0,9.0,0.0,4
1104057010101,57.14,70,30,40,0.1104,0.0,45.0,9.0,0.0,4
1104057010103,63.01,73,27,46,0.1104,0.0,45.0,9.0,0.0,2
1104057010102,56.63,83,36,47,0.4034,0.0,20.166666666666668,3.7223333333333337,0.3333333333333333,6
1104057010105,62.03,79,30,49,0.1132,0.0,44.0,8.799999999999999,0.0,9
1104057010104,56.92,65,28,37,0.1449,0.0,38.625,7.725,0.0,8
1104057010107,68.49,73,23,50,0.1226,0.0,40.9,8.18,0.0,4
1104057010106,44.0,50,28,22,0.254775,0.0,23.1,4.50825,0.0,8
1104057010119,58.33,84,35,49,0.1104,0.0,45.0,9.0,0.0,6
1104057010118,53.33,60,28,32,0.181075,0.0,36.375,7.154249999999999,0.0,8
1104057010108,65.28,72,25,47,0.1103999999999999,0.0,45.0,9.0,0.0,11
1104057010109,65.71,70,24,46,0.1104,0.0,45.0,9.0,0.0,4
1104057010111,54.44,90,41,49,0.1179,0.0,42.55,8.51,0.0,8
1104057010112,57.14,84,36,48,0.1104,0.0,45.0,9.0,0.0,6
1104057010201,49.09,55,28,27,0.4626,0.0,11.5,1.917,0.0,2
1104057020002,46.05,76,41,35,0.6387518518518519,0.0,8.251851851851852,1.639481481481481,0.4074074074074074,54
1104057020001,51.11,90,44,46,0.5489538461538461,0.0,8.934615384615386,1.9138076923076923,0.4615384615384615,52
1104057020104,49.15,59,30,29,0.19,0.0,31.0,5.167,0.0,2
1104057020102,48.21,56,29,27,0.1104,0.0,45.0,9.0,0.0,6
1104057020103,45.31,64,35,29,0.1147777777777777,0.0,43.666666666666664,8.733333333333333,0.0,18
1104057020101,45.31,64,35,29,0.1727666666666666,0.0,29.8,6.343333333333334,0.0,12
1104057020202,46.74,92,49,43,0.17496,0.0,30.56,5.9054,0.0,10
1104057020203,41.98,81,47,34,0.1592,0.0,31.0,6.2,0.0,2
1104057020201,43.37,83,47,36,0.1619,0.0,33.43333333333333,6.366666666666666,0.0,6
1104057020306,50.0,84,42,42,0.0816,0.0,61.73333333333333,12.346666666666666,0.0,6
1104057020307,53.16,79,37,42,0.0693,0.0,72.0,14.4,0.0,4
1104057020304,54.79,73,33,40,0.1154799999999999,0.0,59.6,11.788,0.0,10
1104057020305,52.7,74,35,39,0.0677333333333333,0.0,73.66666666666667,14.733333333333334,0.0,6
1104057020302,45.45,88,48,40,0.0711833333333333,0.0,71.2,14.24,0.0,12
1104057020303,41.43,70,41,29,0.07665,0.0,65.25,13.05,0.0,4
1104057020301,59.0,100,41,59,0.0824,0.0,62.6,12.52,0.0,4
1104057020312,58.57,70,29,41,0.333,0.0,36.6,6.97,0.3333333333333333,6
1104057020313,56.94,72,31,41,0.23106,0.0,43.239999999999995,8.403,0.2,10
1104057020314,47.89,71,37,34,0.6402,0.0,7.2,1.2,1.0,2
1104057020315,45.35,86,47,39,0.1086166666666666,0.0,51.583333333333336,10.766666666666666,0.0,12
1104057020308,47.89,71,37,34,0.067025,0.0,63.6,16.29325,0.0,8
1104057020309,46.25,80,43,37,0.0669599999999999,0.0,74.5,14.9,0.0,10
1104057020310,55.71,70,31,39,0.0693,0.0,72.0,14.4,0.0,6
1104057020311,51.95,77,37,40,0.293525,0.0,42.375,7.25,0.25,8
1104057020403,65.17,89,31,58,0.3541,0.0,16.55,3.1334999999999997,0.0,4
1104057020401,51.11,90,44,46,0.2316,0.0,21.0,4.2,0.0,2
1104057020402,65.17,89,31,58,0.5784,0.0,8.7,1.4500000000000002,0.5,4
1104058010001,100.0,18,0,18,0.4919361111111111,0.0,9.966666666666669,2.193333333333334,0.4166666666666667,72
