집계구코드,residential_pop,lon,lat,n_classic_stops,n_thermal_stops,a_classic,a_thermal,aal,tarr,category
1104055020013,1787.8,127.04669683220465,37.556212603859805,0,0,0.0,0.0,0.0,0.0,no_access
1104055020006,1443.5,127.04320973464556,37.55926289892274,257,143,205.4464,118.8459,86.6005,42.15,thermal_prone
1104055020007,301.4,127.04783564900042,37.56073840981191,184,106,145.778,84.5022,61.2758,42.03,moderate
1104055020004,473.5,127.0473309486559,37.56192351134187,183,107,146.0139,85.1531,60.8608,41.68,moderate
1104055020005,612.7,127.04664049268293,37.56071733246887,200,117,157.9469,93.4969,64.45,40.8,moderate
1104055020002,901.0,127.0500799473367,37.55957537596788,163,89,128.158,69.6209,58.5371,45.68,thermal_prone
1104055020003,171.1,127.04763918825194,37.56468465641806,165,88,133.4732,68.2317,65.2415,48.88,thermal_prone
1104055020001,200.4,127.04746841475978,37.56385266427793,176,104,142.3461,82.3593,59.9868,42.14,moderate
1104055020014,469.1,127.04729314857472,37.560032501117185,202,117,159.6412,93.8871,65.7541,41.19,moderate
1104055020008,417.4,127.04609359490816,37.56169378582893,198,121,157.2839,97.7041,59.5798,37.88,moderate
1104055020201,556.7,127.04946207228812,37.560455329378115,175,102,136.5812,79.6891,56.8921,41.65,moderate
1104055020301,496.5,127.0491355762294,37.561877893952,181,102,143.8861,80.8173,63.0688,43.83,thermal_prone
1104055030002,1833.2,127.04149642539628,37.55455725858832,283,0,225.8886,0.0,225.8886,100.0,thermal_prone
1104055030001,454.5,127.04181326171587,37.556616794568576,313,119,249.32,94.1529,155.1671,62.24,thermal_prone
1104055030103,356.2,127.04021483091384,37.5563293132235,318,2,257.0003,1.9819,255.0184,99.23,thermal_prone
1104055030102,12.4,127.04024469990384,37.55548107442123,303,152,241.0315,121.2206,119.8109,49.71,thermal_prone
1104055030101,836.5,127.04008147377095,37.557302940807034,319,180,259.9745,148.1797,111.7948,43.0,thermal_prone
1104056010001,870.9,127.03749524939028,37.56228113496782,273,158,225.3498,129.8527,95.4971,42.38,thermal_prone
1104056010101,203.9,127.03767110132054,37.55984991620436,302,158,249.5957,130.3527,119.243,47.77,thermal_prone
1104056010103,691.3,127.03718442472776,37.56063458725755,300,162,249.079,133.6193,115.4597,46.35,thermal_prone
1104056010102,270.1,127.03798575540053,37.559073168177115,319,177,263.06,146.7486,116.3114,44.21,thermal_prone
1104056010201,5.5,127.03733304425214,37.56500547629556,239,146,197.1332,116.8841,80.2491,40.71,moderate
1104056010202,4.2,127.03727688381974,37.5643693529961,251,170,205.794,137.7228,68.0712,33.08,moderate
1104056020006,199.9,127.03120654729578,37.558509303876846,310,227,261.1406,185.0942,76.0464,29.12,moderate
1104056020004,239.7,127.03255622237268,37.56013138289478,296,218,249.3998,184.5634,64.8364,26.0,thermal_robust
1104056020005,175.0,127.03165229981562,37.559948562219425,297,218,250.5854,183.697,66.8884,26.69,thermal_robust
1104056020002,3465.5,127.03302049797392,37.559328063023585,297,219,251.4495,183.1351,68.3144,27.17,thermal_robust
1104056020003,464.2,127.0342365336269,37.561519996739136,288,213,242.2404,176.8418,65.3986,27.0,thermal_robust
1104056020001,404.2,127.03340158670456,37.56102862817154,294,217,247.0652,180.9445,66.1207,26.76,thermal_robust
1104056030007,425.4,127.03619256062504,37.55755178382965,321,215,267.1904,179.6586,87.5318,32.76,moderate
1104056030006,253.2,127.03709916899255,37.55835038028147,320,208,266.7822,173.5474,93.2348,34.95,moderate
1104056030005,544.6,127.03719638457294,37.55733863412541,325,213,269.546,176.9429,92.6031,34.36,moderate
1104056030004,1086.0,127.03848245695195,37.55602497282823,309,179,250.8695,146.5158,104.3537,41.6,moderate
1104056030003,253.5,127.03574436755162,37.556913078867424,317,212,261.5413,174.6039,86.9374,33.24,moderate
1104056030002,9048.3,127.03513180274813,37.558687332236616,316,216,266.0362,180.3423,85.6939,32.21,moderate
1104056030001,651.9,127.03708380677472,37.556326101854104,305,176,245.4327,142.9576,102.4751,41.75,moderate
1104056030108,1210.9,127.03632137244642,37.55480877000216,326,184,262.7869,146.142,116.6449,44.39,thermal_prone
1104056030107,32.8,127.0373498188412,37.55420509504347,313,169,249.3212,134.9713,114.3499,45.86,thermal_prone
1104056030106,34.3,127.03591127017282,37.55607338560722,320,195,258.1154,156.1055,102.0099,39.52,moderate
1104056030105,861.3,127.03482208221064,37.555016978934354,332,196,272.4555,157.2146,115.2409,42.3,thermal_prone
1104056030104,58.2,127.03589525045469,37.55533066581215,330,198,269.6873,159.0323,110.655,41.03,moderate
1104056030103,47.3,127.03512030347372,37.55573684250681,318,200,259.445,161.9776,97.4674,37.57,moderate
1104056030102,1568.9,127.03711267644948,37.555243460057824,288,168,229.0581,133.6907,95.3674,41.63,moderate
1104056030101,290.1,127.03674274606496,37.554533904900566,294,168,232.4569,133.3105,99.1464,42.65,thermal_prone
1104057010001,758.7,127.03019089858462,37.55851497219054,306,223,255.0339,182.7505,72.2834,28.34,moderate
1104057010003,285.7,127.02991479656365,37.560010260467024,288,219,239.1047,181.0663,58.0384,24.27,thermal_robust
1104057010002,947.4,127.02931194045476,37.55947418755024,296,227,246.1307,186.6866,59.4441,24.15,thermal_robust
1104057010115,491.6,127.0250367546232,37.55771670663545,293,210,242.4396,172.5394,69.9002,28.83,moderate
1104057010114,689.6,127.02651783759828,37.55831186142298,299,232,246.8736,186.1217,60.7519,24.61,thermal_robust
1104057010117,149.9,127.02728548020136,37.558426422435154,285,205,232.1554,164.324,67.8314,29.22,moderate
1104057010116,415.8,127.02618919783724,37.55759921488106,281,206,231.611,167.3937,64.2173,27.73,moderate
1104057010101,794.0,127.0285506819385,37.55830149591259,286,203,232.6893,162.5665,70.1228,30.14,moderate
1104057010103,413.8,127.02583942506438,37.55802785673343,296,212,244.2619,173.6242,70.6377,28.92,moderate
