집계구코드,tarr_35c,tarr_38c,tarr_41c
1104070020020,100.0,100.0,0.0
1104070020021,100.0,92.86,0.0
1104070020008,100.0,91.5,0.0
1104070020009,100.0,91.74,0.0
1104070020016,100.0,100.0,0.0
1104070020017,100.0,90.2,0.0
1104070020014,100.0,93.64,0.0
1104070020015,100.0,100.0,0.0
1104070020012,100.0,100.0,0.0
1104070020013,100.0,91.22,0.0
1104070020010,100.0,100.0,0.0
1104070020011,100.0,100.0,0.0
1104070020024,100.0,100.0,0.0
1104070020019,100.0,100.0,0.0
1104070020018,100.0,100.0,0.0
1104070020001,100.0,100.0,0.0
1104070020006,100.0,100.0,0.0
1104070020007,100.0,100.0,0.0
1104070020004,100.0,100.0,0.0
1104070020005,100.0,92.53,0.0
1104070020002,100.0,100.0,0.0
1104070020003,100.0,100.0,0.0
1104070020301,100.0,89.66,0.0
1104071010001,100.0,73.73,0.0
1104071010002,100.0,69.97,0.0
1104071010201,100.0,73.73,0.0
1104071010303,100.0,71.45,0.0
1104071010302,100.0,73.11,0.0
1104071010305,100.0,72.06,0.0
1104071010304,100.0,74.79,0.0
1104071010307,100.0,73.36,0.0
1104071010306,100.0,77.66,0.0
1104071010301,100.0,77.1,0.0
1104071020001,100.0,68.11,0.0
1104071020002,100.0,79.51,0.0
1104071020003,98.76,62.7,0.0
1104071020103,100.0,62.68,0.0
1104071020101,100.0,64.6,0.0
1104071020106,100.0,65.03,0.0
1104071020104,100.0,67.61,0.0
1104071020105,100.0,60.43,0.0
1104071020102,100.0,67.44,0.0
1104071020204,100.0,72.73,0.0
1104071020205,100.0,74.4,0.0
1104071020202,100.0,78.74,0.0
1104071020203,99.21,69.68,0.0
1104071020201,100.0,81.56,0.0
1104071020208,100.0,75.93,0.0
1104071020206,100.0,71.65,0.0
1104071020207,100.0,75.69,0.0
1104071030001,100.0,69.18,0.0
1104071040002,100.0,71.28,0.0
1104071040003,100.0,72.37,0.0
1104071040008,100.0,71.73,0.0
1104071040009,100.0,70.25,0.0
1104071040010,100.0,100.0,0.0
1104071040011,100.0,69.67,0.0
1104071040004,100.0,69.08,0.0
1104071040005,100.0,70.95,0.0
1104071040006,100.0,70.5,0.0
1104071040007,100.0,100.0,0.0
1104071040001,100.0,70.85,0.0
1104071040301,100.0,70.33,0.0
1104071040302,100.0,70.0,0.0
1104072010013,100.0,100.0,0.0
1104072010012,100.0,100.0,0.0
1104072010015,100.0,100.0,0.0
1104072010014,100.0,100.0,0.0
1104072010017,100.0,100.0,0.0
1104072010016,100.0,100.0,0.0
1104072010009,100.0,100.0,0.0
1104072010008,100.0,100.0,0.0
1104072010001,100.0,100.0,0.0
1104072010002,100.0,100.0,0.0
1104072010003,100.0,100.0,0.0
1104072010004,100.0,100.0,0.0
1104072010005,100.0,100.0,0.0
1104072010006,100.0,100.0,0.0
1104072010007,100.0,100.0,0.0
1104072010011,100.0,100.0,0.0
1104072010010,100.0,100.0,0.0
1104072010101,100.0,95.03,0.0
1104072010103,100.0,100.0,0.0
1104072010102,100.0,100.0,0.0
1104072010104,100.0,95.03,0.0
1104072010202,100.0,95.14,0.0
1104072010201,100.0,95.06,0.0
1104072010301,100.0,95.06,0.0
1104072010302,100.0,100.0,0.0
1104072010401,100.0,100.0,0.0
1104072010402,100.0,100.0,0.0
1104072010501,100.0,100.0,0.0
1104072010502,100.0,100.0,0.0
1104072020005,100.0,100.0,0.0
1104072020002,100.0,90.75,0.0
1104072020003,100.0,100.0,0.0
1104072020001,100.0,100.0,0.0
1104072020103,100.0,92.82,0.0
1104072020101,100.0,93.35,0.0
1104072020106,100.0,92.22,0.0
1104072020107,100.0,91.02,0.0
1104072020104,100.0,90.31,0.0
1104072020105,98.68,91.65,0.0
1104072020102,100.0,92.42,0.0
1104072020201,100.0,93.43,0.0
1104072020402,100.0,98.23,0.0
1104072020403,100.0,98.0,0.0
1104072020401,100.0,98.17,0.0
1104072020404,100.0,98.0,0.0
1104073020002,100.0,96.83,0.0
1104073020003,99.41,99.41,0.0
1104073020102,100.0,97.16,0.0
1104073020103,100.0,96.44,0.0
1104073020101,100.0,97.05,0.0
1104073020202,99.2,93.64,0.0
1104073020203,100.0,92.93,0.0
1104073020201,100.0,92.54,0.0
1104073020606,100.0,97.75,0.0
1104073020607,100.0,97.75,0.0
1104073020604,98.7,98.05,0.0
1104073020605,98.12,93.81,0.0
1104073020602,98.7,98.05,0.0
1104073020603,100.0,98.23,0.0
1104073020601,100.0,97.78,0.0
1104073020608,100.0,100.0,0.0
1104073020609,100.0,98.23,0.0
1104073030003,100.0,100.0,0.0
1104073030002,100.0,95.28,0.0
1104073030001,98.71,93.61,0.0
1104073030203,100.0,96.88,0.0
1104073030202,100.0,96.35,0.0
1104073030201,100.0,95.91,0.0
1104073030306,100.0,92.24,0.0
1104073030305,100.0,92.05,0.0
1104073030304,100.0,93.12,0.0
1104073030303,100.0,92.13,0.0
1104073030302,99.2,92.05,0.0
1104073030301,99.12,91.32,0.0
1104073030307,100.0,93.12,0.0
1104073030604,100.0,94.69,0.0
1104073030603,100.0,94.98,0.0
1104073030602,100.0,94.33,0.0
1104073030601,0.0,0.0,0.0
1104073040001,100.0,100.0,0.0
1104073040201,100.0,100.0,0.0
1104073040202,100.0,100.0,0.0
1104073040301,100.0,98.51,0.0
1104073040302,100.0,98.56,0.0
1104073040303,100.0,98.41,0.0
1104073040501,100.0,100.0,0.0
1104073040502,100.0,100.0,0.0
1104059030206,100.0,83.9,0.0
1104072020405,99.01,99.01,0.0
1104073020204,100.0,97.57,0.0
