u,v,svf,mean_bld_H,road_W,HW_ratio,canopy_ratio,highway
436839561,8497761823,0.6644,13.5,12.0,1.125,0.0,secondary
436839561,436880740,0.824,8.2,12.0,0.683,0.0,secondary
436839561,3832677072,0.4961,10.5,6.0,1.75,0.0,residential
436839567,436839568,0.4015,27.4,12.0,2.283,0.0,secondary
436839567,10857081082,0.6897,12.6,12.0,1.05,0.0,secondary
436839567,10857081075,0.2596,18.6,5.0,3.72,0.0,living_street
436839567,10857081072,0.5241,9.8,6.0,1.633,0.0,residential
436839568,10857081033,0.0712,42.0,3.0,14.0,0.0,footway
436839568,10857081045,0.0712,42.0,3.0,14.0,0.0,footway
436839568,10857081015,0.3285,34.5,12.0,2.875,0.0,secondary
436839568,3832676326,0.3285,34.5,12.0,2.875,0.0,secondary
436839571,7838649241,0.6644,6.8,6.0,1.133,0.0,residential
436839571,8332958012,0.6644,6.8,6.0,1.133,0.0,residential
436839571,7838649265,0.8682,6.9,12.0,0.575,0.0,secondary
436839571,4200459131,0.8262,8.2,12.0,0.683,0.0,secondary
436839572,8332958005,0.4856,10.8,6.0,1.8,0.0,residential
436839572,9739604426,0.6854,12.8,12.0,1.067,0.0,secondary
436839572,9522228542,0.7182,11.6,12.0,0.967,0.0,secondary
436839572,9621196667,0.4258,12.8,6.0,2.133,0.0,residential
436839573,9739583404,0.4856,10.8,6.0,1.8,0.0,residential
436839573,8332958004,0.5021,10.3,6.0,1.717,0.0,residential
436839573,9739583411,0.7619,10.2,12.0,0.85,0.0,secondary
436839573,9482002906,0.7452,10.7,12.0,0.892,0.0,secondary
436840037,3849606259,0.7071,12.0,12.0,1.0,0.0359,secondary
436840037,3833113884,0.8137,8.6,12.0,0.717,0.0076,secondary
436840037,4639723023,0.1728,28.5,5.0,5.7,0.0085,service
436840048,8463699852,0.3048,37.5,12.0,3.125,0.0207,secondary
436840048,3833113884,0.2941,39.0,12.0,3.25,0.0,secondary
436840048,3833114092,0.1104,54.0,6.0,9.0,0.0209,residential
436849741,3807095877,0.8824,4.8,9.0,0.533,0.0,tertiary
436849741,3851466444,0.2577,22.5,6.0,3.75,0.0,secondary_link
436849741,8222891384,0.9701,3.0,12.0,0.25,0.0,secondary
436849741,3851466449,0.5547,9.0,6.0,1.5,0.0,residential
436849742,8222891384,0.9701,3.0,12.0,0.25,0.0,secondary
436849742,4201516942,0.1644,36.0,6.0,6.0,0.0,residential
436849742,3851466455,0.4472,24.0,12.0,2.0,0.1051,secondary
436849780,9809027063,0.6727,13.2,12.0,1.1,0.0,secondary
436849780,9809027066,0.6727,13.2,12.0,1.1,0.0,secondary
436849780,9809027067,0.2272,12.9,3.0,4.3,0.0,footway
436849780,9809027062,0.2216,13.2,3.0,4.4,0.0,footway
436849780,9809027064,0.206,14.2,3.0,4.733,0.0,footway
436849780,9809027065,0.2316,12.6,3.0,4.2,0.0,footway
436849780,9809027068,0.53,14.4,9.0,1.6,0.0,tertiary
436849781,9809027045,0.3714,15.0,6.0,2.5,0.0,residential
436849781,1979127117,0.3714,15.0,6.0,2.5,0.0,residential
436849781,9809027068,0.5463,13.8,9.0,1.533,0.0,tertiary
436849788,9809027037,0.7372,5.5,6.0,0.917,0.0,residential
436849790,9809027078,0.6163,7.7,6.0,1.283,0.0,residential
436849792,9809027031,0.6122,7.8,6.0,1.3,0.0,residential
436849795,3832677299,0.9162,5.2,12.0,0.433,0.0,secondary
436849795,2965670269,0.848,7.5,12.0,0.625,0.0,secondary
436849795,7617611667,0.6247,7.5,6.0,1.25,0.0,secondary_link
436849802,3832677264,1.0,0.0,12.0,0.0,0.0,secondary
436849802,3832677273,0.9701,3.0,12.0,0.25,0.0,secondary
436849802,9009916696,1.0,0.0,3.0,0.0,0.0,footway
436849802,9009916695,1.0,0.0,3.0,0.0,0.0,footway
436849812,3832676314,0.8321,6.0,9.0,0.667,0.0,tertiary
436849812,6312184471,0.5547,9.0,6.0,1.5,0.0,residential
436849812,1945254550,1.0,0.0,12.0,0.0,0.0,secondary
436849812,6312216148,1.0,0.0,12.0,0.0,0.0,secondary
436849817,1980630448,0.3714,30.0,12.0,2.5,0.0,secondary
436849817,8257626883,0.606,15.8,12.0,1.317,0.0,secondary
436849817,8257626884,0.5882,16.5,12.0,1.375,0.0,secondary
436849845,9605814912,1.0,0.0,12.0,0.0,0.0,secondary
436849845,8332919078,1.0,0.0,16.0,0.0,0.0107,primary
436849845,8332919081,1.0,0.0,12.0,0.0,0.042,secondary
436849845,8332919082,1.0,0.0,16.0,0.0,0.0148,primary
436849849,3832902846,0.7526,10.5,12.0,0.875,0.0,secondary
436849849,9809027063,0.6783,13.0,12.0,1.083,0.0,secondary
436849849,9083521237,0.5241,9.8,6.0,1.633,0.0,residential
436849851,3832903129,0.7295,11.2,12.0,0.933,0.0,secondary
436849851,3832903097,0.6508,14.0,12.0,1.167,0.0,secondary
